net,length_um
rv151.soc.core.bch.bch_c2\[7\],4776.02
rv151.soc.core.bch.bch_c2\[4\],4606.77
rv151.soc.core.bch.bch_c2\[6\],4577.65
rv151.soc.core.bch.bch_c2\[1\],4573.705
rv151.soc.core.bch.bch_c2\[5\],4533.3
rv151.soc.core.bch.bch_c2\[0\],4475.145
rv151.soc.core.bch.bch_c2\[3\],4456.765
rv151.soc.core.bch.bch_c2\[2\],4394.265
rv151.soc.core.exo_mwd\[13\],4250.585
rv151.soc.core.exo_mwd\[23\],4183.545
rv151.soc.core.exo_mwd\[10\],4165.35
rv151.soc.core.exo_mwd\[14\],4088.435
rv151.soc.core.exo_mwd\[20\],4082.715
rv151.soc.core.exo_mwd\[29\],4005.03
rv151.soc.core.exo_mwd\[30\],3933.975
rv151.soc.core.exo_mwd\[11\],3927.54
rv151.soc.core.exo_mwd\[28\],3916.45
rv151.soc.core.exo_mwd\[17\],3910.215
rv151.soc.core.exo_mwd\[19\],3897.075
rv151.soc.core.exo_mwd\[9\],3896.16
rv151.soc.core.exo_mwd\[18\],3864.585
rv151.soc.core.exo_mwd\[15\],3833.505
rv151.soc.core.exo_mwd\[12\],3832.38
rv151.soc.core.exo_mwd\[22\],3768.095
rv151.soc.core.exo_mwd\[8\],3749.41
rv151.soc.core.exo_mwd\[27\],3715.695
rv151.soc.core.exo_mwd\[21\],3713.595
rv151.soc.core.exo_mwd\[25\],3711.815
rv151.soc.core.exo_mwd\[31\],3702.28
rv151.soc.core.exo_mwd\[16\],3658.78
rv151.soc.core.exo_mwd\[26\],3587.92
rv151.soc.core.exo_mwd\[24\],3525.115
_00173_,3240.98
net2,3029.39
net981,2968.37
net737,2918.55
io_in[14],2907.905
net4,2786.82
net16,2780.51
net3,2698.65
net7,2647.325
rv151.soc.bios_addrb\[5\],2612.95
rv151.soc.bios_addrb\[8\],2592.165
net1,2565.255
net6,2544.615
net17,2537.595
net24,2413.96
net8,2385.84
net26,2375.485
net18,2248.2
net25,2129.46
net9,2125.8
net19,2002.08
rv151.soc.bios_addrb\[1\],1956.92
net28,1936.9
_00169_,1860.185
net10,1854.48
rv151.soc.bios_addrb\[0\],1805.6
net20,1735.81
net29,1674.73
net22,1607.57
net11,1595.96
_07906_,1587.69
net14,1558.355
net27,1537.315
rv151.soc.core.md_we\[1\],1522.725
_08041_,1518.925
_07938_,1510.415
rv151.soc.core.md_we\[3\],1499.955
rv151.soc.bios_addrb\[3\],1488.255
net23,1487.71
rv151.soc.bios_addrb\[4\],1484.17
_07332_,1464.655
net21,1444.325
net30,1413.115
net115,1398.505
rv151.soc.bios_addrb\[6\],1377.77
rv151.soc.bios_addrb\[2\],1365.735
rv151.soc.bios_addra\[8\],1359.245
rv151.soc.bios_addra\[6\],1357.215
rv151.soc.bios_addra\[7\],1350.51
net12,1348.32
rv151.soc.bios_addra\[5\],1345.73
rv151.mxck,1329.63
rv151.soc.bios_din0\[14\],1327.595
rv151.soc.bios_addra\[4\],1319.89
rv151.soc.bios_din0\[17\],1310.85
rv151.soc.bios_addra\[3\],1305.035
rv151.soc.bios_din0\[13\],1301.9
net13,1301.76
rv151.soc.bios_din0\[11\],1299.93
rv151.soc.bios_din0\[10\],1290.665
_07177_,1280.74
rv151.soc.bios_din0\[0\],1277.885
rv151.soc.bios_din0\[12\],1275.175
rv151.soc.bios_addra\[2\],1269.815
rv151.soc.bios_din0\[15\],1264.005
net695,1247.075
_07159_,1217.85
rv151.soc.bios_web0,1191
net689,1185.54
rv151.soc.bios_doutb\[20\],1176.79
net31,1155.455
rv151.soc.bios_doutb\[17\],1146.235
rv151.soc.bios_doutb\[21\],1144.17
rv151.soc.bios_doutb\[22\],1136.9
rv151.soc.bios_doutb\[26\],1131.96
rv151.soc.bios_addrb\[7\],1127.235
rv151.soc.bios_doutb\[24\],1121.755
net137,1118.82
rv151.soc.bios_doutb\[10\],1118.09
rv151.soc.bios_doutb\[30\],1117.72
rv151.soc.bios_doutb\[16\],1116.58
rv151.soc.bios_doutb\[0\],1115.955
net126,1112.245
net159,1110.785
rv151.soc.bios_doutb\[31\],1108.245
rv151.soc.bios_doutb\[2\],1103.375
net148,1102.185
rv151.soc.bios_doutb\[14\],1095.765
rv151.soc.bios_doutb\[4\],1093.125
net41,1090.445
rv151.soc.bios_doutb\[23\],1084.545
rv151.soc.bios_doutb\[28\],1076.045
net47,1072.11
net54,1068.09
rv151.soc.bios_doutb\[25\],1066.145
rv151.soc.bios_doutb\[18\],1061.83
rv151.soc.bios_doutb\[27\],1061.535
rv151.soc.bios_doutb\[6\],1061.035
net62,1059.33
net719,1055.825
rv151.soc.bios_doutb\[19\],1054.765
rv151.soc.core.md_we\[0\],1051.045
net86,1048.255
net723,1048.13
rv151.soc.bios_doutb\[29\],1044.49
rv151.soc.bios_doutb\[15\],1041.945
rv151.soc.bios_doutb\[13\],1033.46
net75,1019.05
net35,1015.135
rv151.soc.bios_doutb\[11\],1012.295
_03866_,1010.58
