net,length_um
soc.core.bch.bch_c2\[4\],4499.69
soc.core.bch.bch_c2\[3\],4394.855
soc.core.bch.bch_c2\[1\],4391.84
soc.core.bch.bch_c2\[2\],4333.59
soc.core.bch.bch_c2\[0\],4187.69
soc.core.exo_mwd\[13\],4043.51
soc.core.exo_mwd\[14\],4017.98
soc.core.bch.bch_c2\[7\],3930.595
soc.core.exo_mwd\[8\],3885.515
soc.core.bch.bch_c2\[6\],3821
soc.core.bch.bch_c2\[5\],3760.09
soc.core.exo_mwd\[20\],3661.57
soc.core.exo_mwd\[21\],3603.7
soc.core.exo_mwd\[11\],3596.11
soc.core.exo_mwd\[18\],3587.04
soc.core.exo_mwd\[31\],3543.59
soc.core.exo_mwd\[30\],3531.87
soc.core.exo_mwd\[22\],3529.6
soc.core.exo_mwd\[23\],3445.555
soc.core.exo_mwd\[27\],3442.39
soc.core.exo_mwd\[26\],3384.13
soc.core.exo_mwd\[24\],3361.61
soc.core.exo_mwd\[25\],3361.49
clk,3116.9
_00173_,3045.58
net14,2562.1
net23,2192.035
net34,2173.42
_03047_,2096.04
net16,2036.87
net12,2019.68
net17,1936.205
net9,1933.14
net22,1904.98
net8,1884.5
net2,1821.44
clknet_4_15__leaf_soc.bspi.b2o.wck,1786.16
_07947_,1783.5
soc.core.exo_mwd\[29\],1781.07
io_sck,1773.05
soc.core.exo_mwd\[28\],1772.65
net180,1766.98
net181,1731.03
net192,1727.52
net194,1724.665
net193,1723.94
net195,1718.21
soc.core.exo_mwd\[15\],1699.21
net190,1689.56
net18,1682.71
soc.core.exo_mwd\[12\],1665.5
net191,1654.33
net19,1652.795
net13,1641.815
clknet_4_0__leaf_soc.bspi.b2o.wck,1607.66
net7,1605.84
soc.core.exo_mwd\[10\],1593.37
soc.core.exo_mwd\[9\],1592.46
net188,1586.27
net3,1548.98
net1,1545.7
net186,1525.65
net21,1512.16
_00168_,1511.09
net20,1502.04
net182,1499.23
net184,1489.35
clknet_4_5__leaf_soc.bspi.b2o.wck,1473.77
_07978_,1468.4
net201,1422.8
soc.bspi.b2o.wck,1415.36
net6,1410.16
net198,1402
clknet_4_10__leaf_soc.bspi.b2o.wck,1401.66
net15,1356.44
net213,1353.14
clknet_4_1__leaf_soc.bspi.b2o.wck,1352.08
net204,1345.3
net216,1337.52
net207,1335.1
soc.bios_din0\[11\],1330.02
net210,1324.26
soc.bios_din0\[14\],1308.74
soc.bios_din0\[0\],1303.07
soc.bios_din0\[12\],1298.12
soc.bios_din0\[15\],1297.32
soc.bios_din0\[17\],1293.35
soc.bios_din0\[10\],1285.89
soc.bios_din0\[13\],1283.69
net4,1244.28
net32,1240.9
net245,1226.975
net247,1214.32
net5,1210.58
soc.bios_addrb\[7\],1208.83
soc.bios_addrb\[8\],1200.52
_00167_,1186.66
soc.bios_web0,1180.78
net35,1179.36
net243,1171.35
net241,1138.48
net348,1138.415
net352,1135
net253,1131.38
net350,1130.72
net239,1130
clknet_3_0_0_soc.bspi.b2o.wck,1127.46
net275,1126.46
net346,1118.56
_08150_,1108.915
net293,1107.54
net297,1103.74
soc.dmem_dout\[31\],1087.57
net38,1084.46
net344,1081.1
net354,1074.26
net45,1072.36
net291,1067.14
net237,1064.515
_07180_,1063.5
soc.dmem_dout\[30\],1062.26
soc.dmem_dout\[29\],1062
net42,1060.86
net342,1054.82
net356,1054.64
net60,1054.41
soc.dmem_dout\[28\],1054.06
net56,1045.38
net338,1044.62
_07850_,1039.42
net33,1037.33
net49,1037.32
net358,1034.94
soc.dmem_dout\[27\],1034.05
net41,1032.32
net228,1029.28
soc.dmem_dout\[26\],1026.5
clknet_4_4__leaf_soc.bspi.b2o.wck,1025.76
soc.dmem_dout\[25\],1010.91
_00170_,1006.58
net360,1006.08
net52,1005.7
net231,1003.85
net336,992.14
net334,991.88
net234,991.34
soc.dmem_dout\[23\],989.5
net235,988.32
net81,987.8
net222,986.38
net63,978.68
net156,973.98
net332,973.08
net219,972.58
_07673_,972.34
net295,969.16
net300,968.04
net169,967.74
net123,967.64
soc.dmem_dout\[21\],965.14
soc.dmem_dout\[24\],964.48
net107,963.56
net225,962.13
_07948_,954.59
soc.dmem_dout\[22\],951.14
soc.bios_addrb\[4\],950.92
soc.dmem_dout\[17\],947.66
soc.dmem_dout\[20\],946.16
net78,943.66
net586,942.08
soc.dmem_dout\[18\],940.5
net302,940.3
soc.bios_addrb\[0\],938.8
net582,938.1
soc.bios_addrb\[5\],937.04
soc.bios_addrb\[3\],936.77
net330,936.48
soc.dmem_dout\[19\],934.36
soc.dmem_dout\[15\],927.98
soc.bios_addrb\[2\],925.6
net304,922.94
net25,909.94
net72,908.1
net48,906.92
net306,903.34
soc.dmem_dout\[16\],901.44
net328,899.5
net289,896.68
net308,893.96
net326,893.44
_03245_,891.68
net98,880.08
net312,879.88
net97,879.74
soc.dmem_dout\[13\],874.46
net310,871.72
soc.bios_addrb\[6\],863.48
net324,861.02
